Iteration	Posterior	Likelihood	Prior	clock_host	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
6050	-1356.294	-1355.679	-0.6152908	0.6152908	0.04006975	0.9599302	1e-06	0.0400698	1e-06	1e-06	0.95993	1e-06	0.0400698	0.95993
6100	-1328.092	-1327.447	-0.645359	0.645359	0.03609133	0.9639087	1e-06	0.0360913	1e-06	1e-06	0.963909	1e-06	0.0360913	0.963909
6150	-1382.204	-1381.525	-0.6790212	0.6790212	0.03376217	0.9662378	1e-06	0.0337622	1e-06	1e-06	0.966238	1e-06	0.0337622	0.966238
6200	-1341.602	-1340.963	-0.6388842	0.6388842	0.03746644	0.9625336	1e-06	0.0374664	1e-06	1e-06	0.962534	1e-06	0.0374664	0.962534
6250	-1301.439	-1300.82	-0.618893	0.618893	0.03484843	0.9651516	1e-06	0.0348484	1e-06	1e-06	0.965152	1e-06	0.0348484	0.965152
6300	-1305.954	-1305.344	-0.6097669	0.6097669	0.03662216	0.9633778	1e-06	0.0366222	1e-06	1e-06	0.963378	1e-06	0.0366222	0.963378
6350	-1342.826	-1342.144	-0.6822884	0.6822884	0.03587095	0.964129	1e-06	0.035871	1e-06	1e-06	0.964129	1e-06	0.035871	0.964129
6400	-1353.997	-1353.348	-0.6497315	0.6497315	0.04315775	0.9568422	1e-06	0.0431578	1e-06	1e-06	0.956842	1e-06	0.0431578	0.956842
6450	-1368.025	-1367.38	-0.6450752	0.6450752	0.04113722	0.9588628	1e-06	0.0411372	1e-06	1e-06	0.958863	1e-06	0.0411372	0.958863
6500	-1437.901	-1437.252	-0.6491772	0.6491772	0.04673612	0.9532639	1e-06	0.0467361	1e-06	1e-06	0.953264	1e-06	0.0467361	0.953264
6550	-1399.056	-1398.333	-0.7231526	0.7231526	0.03592235	0.9640777	1e-06	0.0359223	1e-06	1e-06	0.964078	1e-06	0.0359223	0.964078
6600	-1315.988	-1315.391	-0.5976142	0.5976142	0.03911786	0.9608821	1e-06	0.0391179	1e-06	1e-06	0.960882	1e-06	0.0391179	0.960882
6650	-1426.899	-1426.176	-0.7225758	0.7225758	0.04084006	0.9591599	1e-06	0.0408401	1e-06	1e-06	0.95916	1e-06	0.0408401	0.95916
6700	-1359.997	-1359.369	-0.6281414	0.6281414	0.04654941	0.9534506	1e-06	0.0465494	1e-06	1e-06	0.953451	1e-06	0.0465494	0.953451
6750	-1441.758	-1441.181	-0.5774753	0.5774753	0.05533818	0.9446618	1e-06	0.0553382	1e-06	1e-06	0.944662	1e-06	0.0553382	0.944662
6800	-1450.576	-1449.917	-0.6593281	0.6593281	0.04053818	0.9594618	1e-06	0.0405382	1e-06	1e-06	0.959462	1e-06	0.0405382	0.959462
6850	-1407.362	-1406.69	-0.6725894	0.6725894	0.04461125	0.9553888	1e-06	0.0446112	1e-06	1e-06	0.955389	1e-06	0.0446112	0.955389
6900	-1385.298	-1384.613	-0.6854406	0.6854406	0.0365727	0.9634273	1e-06	0.0365727	1e-06	1e-06	0.963427	1e-06	0.0365727	0.963427
6950	-1373.565	-1372.896	-0.6693794	0.6693794	0.03456942	0.9654306	1e-06	0.0345694	1e-06	1e-06	0.965431	1e-06	0.0345694	0.965431
7000	-1411.738	-1411.124	-0.6136757	0.6136757	0.05051055	0.9494895	1e-06	0.0505105	1e-06	1e-06	0.949489	1e-06	0.0505105	0.949489
7050	-1358.259	-1357.595	-0.6643388	0.6643388	0.03856613	0.9614339	1e-06	0.0385661	1e-06	1e-06	0.961434	1e-06	0.0385661	0.961434
7100	-1345.853	-1345.221	-0.6325414	0.6325414	0.03669486	0.9633051	1e-06	0.0366949	1e-06	1e-06	0.963305	1e-06	0.0366949	0.963305
7150	-1338.321	-1337.717	-0.6032926	0.6032926	0.04336797	0.956632	1e-06	0.043368	1e-06	1e-06	0.956632	1e-06	0.043368	0.956632
7200	-1388.044	-1387.436	-0.6077485	0.6077485	0.04013943	0.9598606	1e-06	0.0401394	1e-06	1e-06	0.959861	1e-06	0.0401394	0.959861
7250	-1381.562	-1380.944	-0.6174563	0.6174563	0.04634326	0.9536567	1e-06	0.0463433	1e-06	1e-06	0.953657	1e-06	0.0463433	0.953657
7300	-1370.673	-1369.926	-0.7471615	0.7471615	0.03891969	0.9610803	1e-06	0.0389197	1e-06	1e-06	0.96108	1e-06	0.0389197	0.96108
7350	-1354.925	-1354.329	-0.5965906	0.5965906	0.04177707	0.9582229	1e-06	0.0417771	1e-06	1e-06	0.958223	1e-06	0.0417771	0.958223
7400	-1314.845	-1314.258	-0.586797	0.586797	0.04242068	0.9575793	1e-06	0.0424207	1e-06	1e-06	0.957579	1e-06	0.0424207	0.957579
7450	-1333.042	-1332.446	-0.5968092	0.5968092	0.03520993	0.9647901	1e-06	0.0352099	1e-06	1e-06	0.96479	1e-06	0.0352099	0.96479
7500	-1292.388	-1291.751	-0.6364847	0.6364847	0.03595908	0.9640409	1e-06	0.0359591	1e-06	1e-06	0.964041	1e-06	0.0359591	0.964041
7550	-1291.09	-1290.498	-0.5913543	0.5913543	0.03920821	0.9607918	1e-06	0.0392082	1e-06	1e-06	0.960792	1e-06	0.0392082	0.960792
7600	-1276.09	-1275.468	-0.6224001	0.6224001	0.03569691	0.9643031	1e-06	0.0356969	1e-06	1e-06	0.964303	1e-06	0.0356969	0.964303
7650	-1286.216	-1285.611	-0.6046722	0.6046722	0.04117783	0.9588222	1e-06	0.0411778	1e-06	1e-06	0.958822	1e-06	0.0411778	0.958822
7700	-1379.297	-1378.642	-0.6547689	0.6547689	0.04354769	0.9564523	1e-06	0.0435477	1e-06	1e-06	0.956452	1e-06	0.0435477	0.956452
7750	-1355.267	-1354.622	-0.6458005	0.6458005	0.042796	0.957204	1e-06	0.042796	1e-06	1e-06	0.957204	1e-06	0.042796	0.957204
7800	-1350.012	-1349.379	-0.6323131	0.6323131	0.04488645	0.9551135	1e-06	0.0448865	1e-06	1e-06	0.955114	1e-06	0.0448865	0.955114
7850	-1390.904	-1390.282	-0.6221939	0.6221939	0.03964902	0.960351	1e-06	0.039649	1e-06	1e-06	0.960351	1e-06	0.039649	0.960351
7900	-1320.857	-1320.289	-0.5679057	0.5679057	0.04957062	0.9504294	1e-06	0.0495706	1e-06	1e-06	0.950429	1e-06	0.0495706	0.950429
7950	-1449.786	-1449.17	-0.6162011	0.6162011	0.05299036	0.9470096	1e-06	0.0529904	1e-06	1e-06	0.94701	1e-06	0.0529904	0.94701
8000	-1400.64	-1400.071	-0.5695572	0.5695572	0.05424646	0.9457535	1e-06	0.0542465	1e-06	1e-06	0.945754	1e-06	0.0542465	0.945754
8050	-1239.851	-1239.219	-0.6322593	0.6322593	0.04435097	0.955649	1e-06	0.044351	1e-06	1e-06	0.955649	1e-06	0.044351	0.955649
